life	7.27	6.02	5.72	49	110	125	187
god	8.15	5.95	5.88	18	44	34	29
hell	2.24	5.38	3.24	16	52	43	31
person	6.32	4.19	5.35	15	80	54	97
sick	1.9	4.29	3.04	11	65	24	85
face	6.39	5.04	5.67	11	44	23	20
hurt	1.9	5.85	3.33	10	32	54	52
girl	6.87	4.29	5.8	8	39	24	40
upset	2	5.86	4.08	7	22	19	21
moment	5.76	3.83	4.81	7	11	24	22
pain	2.13	6.5	3.71	2	17	58	40
frustrated	2.48	5.61	3.5	0	8	9	13
death	1.61	4.59	3.47	0	12	14	24
comfort	7.07	3.93	5.7	0	5	4	10
headache	2.02	5.07	3.6	0	11	4	3
lazy	4.38	2.65	4.07	0	7	2	11
selfish	2.42	5.5	4.64	0	13	5	4
stress	2.09	7.45	3.93	1	16	17	13
answer	6.63	5.41	5.85	2	11	10	10
fault	3.43	4.07	4.02	2	9	10	30
fat	2.28	4.81	4.47	3	15	5	30
