christmas	7.8	6.27	5.37	391	1	1	24
good	7.47	5.43	6.41	234	96	88	108
home	7.91	4.21	5.9	177	66	84	82
family	7.65	4.8	6	105	23	28	55
house	7.26	4.56	6.08	104	45	51	31
fun	8.37	7.22	6.8	103	28	23	35
pretty	7.75	6.03	5.5	100	39	56	48
nice	6.55	4.38	5.58	99	39	25	23
dinner	7.16	5.43	6.1	84	10	12	10
party	7.86	6.69	5.83	79	8	7	24
movie	6.86	4.93	5	73	10	7	16
holiday	7.55	6.59	6.3	70	2	2	8
couple	7.41	6.39	6.02	61	12	23	22
music	8.13	5.32	6.39	49	24	7	19
birthday	7.84	6.68	5.89	47	5	6	23
brother	7.11	4.71	5.12	46	15	8	17
merry	7.9	5.9	6.64	43	0	1	0
cute	7.62	5.53	4.86	43	12	4	4
game	6.98	5.89	5.7	42	15	7	13
gift	7.77	6.14	5.52	38	2	0	3
present	6.95	5.12	5.83	19	4	2	5
spirit	7	5.56	5.82	18	0	2	3
chocolate	6.88	5.29	5.18	17	2	3	7
